str_no_string|NO STRING!
str_troop_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_troop_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_faction_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_faction_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_party_gained_morale|Your party gains {reg1} morale.
str_party_lost_morale|Your party loses {reg1} morale.
str_qst_follow_spy_noticed_you|The spy has spotted you! He's making a run for it!
str_father|father
str_husband|husband
str_wife|wife
str_daughter|daughter
str_mother|mother
str_son|son
str_brother|brother
str_sister|sister
str_he|He
str_she|She
str_s3s_s2|{s3}'s {s2}
str_s5_is_s51|{s5} is {s51}.
str_s5_is_the_ruler_of_s51|{s5} is the ruler of {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of {s6}. 
str_relation_mnus_100|               Hostility
str_relation_mnus_90|               Hostility
str_relation_mnus_80|               Hostility
str_relation_mnus_70|               Hatred
str_relation_mnus_60|               Hatred
str_relation_mnus_50|               Resentment
str_relation_mnus_40|               Resentment
str_relation_mnus_30|               Suspicion
str_relation_mnus_20|               Suspicion
str_relation_mnus_10|               Indifference
str_relation_plus_0|               Indifference
str_relation_plus_10|               Indifference
str_relation_plus_20|               Sympathy
str_relation_plus_30|               Sympathy
str_relation_plus_40|               Support
str_relation_plus_50|               Support
str_relation_plus_60|               Friendliness
str_relation_plus_70|               Friendliness
str_relation_plus_80|               Devotion
str_relation_plus_90|               Devotion
str_relation_mnus_100_ns|{s60} is vengeful towards you.
str_relation_mnus_90_ns|{s60} is vengeful towards you.
str_relation_mnus_80_ns|{s60} is vengeful towards you.
str_relation_mnus_70_ns|{s60} is hateful towards you.
str_relation_mnus_60_ns|{s60} is hateful towards you.
str_relation_mnus_50_ns|{s60} is hostile towards you.
str_relation_mnus_40_ns|{s60} is angry towards you.
str_relation_mnus_30_ns|{s60} is resentful towards you.
str_relation_mnus_20_ns|{s60} is grumbling against you.
str_relation_mnus_10_ns|{s60} is suspicious towards you.
str_relation_plus_0_ns|{s60} is indifferent against you.
str_relation_plus_10_ns|{s60} is cooperative towards you.
str_relation_plus_20_ns|{s60} is welcoming towards you.
str_relation_plus_30_ns|{s60} is favorable to you.
str_relation_plus_40_ns|{s60} is supportive of you.
str_relation_plus_50_ns|{s60} is friendly to you.
str_relation_plus_60_ns|{s60} is gracious to you.
str_relation_plus_70_ns|{s60} is fond of you.
str_relation_plus_80_ns|{s60} is loyal to you.
str_relation_plus_90_ns|{s60} is devoted to you.
str_relation_reg1| Relation: {reg1}
str_center_relation_mnus_100|The populace hates you with a passion
str_center_relation_mnus_90|The populace hates you intensely
str_center_relation_mnus_80|The populace hates you strongly
str_center_relation_mnus_70|The populace hates you
str_center_relation_mnus_60|The populace is hateful towards you
str_center_relation_mnus_50|The populace is extremely hostile towards you
str_center_relation_mnus_40|The populace is very hostile towards you
str_center_relation_mnus_30|The populace is hostile towards you
str_center_relation_mnus_20|The populace is against you
str_center_relation_mnus_10|The populace is opposed to you
str_center_relation_plus_0|The populace is indifferent to you
str_center_relation_plus_10|The populace is accepting of you
str_center_relation_plus_20|The populace is cooperative with you
str_center_relation_plus_30|The populace is somewhat supportive of you
str_center_relation_plus_40|The populace is supportive of you
str_center_relation_plus_50|The populace is very supportive of you
str_center_relation_plus_60|The populace is loyal to you
str_center_relation_plus_70|The populace is highly loyal to you
str_center_relation_plus_80|The populace is devoted to you
str_center_relation_plus_90|The populace is fiercely devoted to you
str_town_prosperity_0|The poverty of the town of {s60} is unbearable
str_town_prosperity_10|The squalorous town of {s60} is all but deserted.
str_town_prosperity_20|The town of {s60} looks a wretched, desolate place.
str_town_prosperity_30|The town of {s60} looks poor and neglected.
str_town_prosperity_40|The town of {s60} appears to be struggling.
str_town_prosperity_50|The town of {s60} seems unremarkable.
str_town_prosperity_60|The town of {s60} seems to be flourishing.
str_town_prosperity_70|The prosperous town of {s60} is bustling with activity.
str_town_prosperity_80|The town of {s60} looks rich and well-maintained.
str_town_prosperity_90|The town of {s60} is opulent and crowded with well-to-do people.
str_town_prosperity_100|The glittering town of {s60} openly flaunts its great wealth.
str_village_prosperity_0|The poverty of the village of {s60} is unbearable.
str_village_prosperity_10|The village of {s60} looks wretchedly poor and miserable.
str_village_prosperity_20|The village of {s60} looks very poor and desolate.
str_village_prosperity_30|The village of {s60} looks poor and neglected.
str_village_prosperity_40|The village of {s60} appears to be somewhat poor and struggling.
str_village_prosperity_50|The village of {s60} seems unremarkable.
str_village_prosperity_60|The village of {s60} seems to be flourishing.
str_village_prosperity_70|The village of {s60} appears to be thriving.
str_village_prosperity_80|The village of {s60} looks rich and well-maintained.
str_village_prosperity_90|The village of {s60} looks very rich and prosperous.
str_village_prosperity_100|The village of {s60}, surrounded by vast, fertile fields, looks immensely rich.
str_war_report_minus_4|we are about to lose the war
str_war_report_minus_3|the situation looks bleak
str_war_report_minus_2|things aren't going too well for us
str_war_report_minus_1|we can still win the war if we rally
str_war_report_0|we are evenly matched with the enemy
str_war_report_plus_1|we have a fair chance of winning the war
str_war_report_plus_2|things are going quite well
str_war_report_plus_3|we should have no difficulty defeating them
str_war_report_plus_4|we are on the verge of victory
str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seem to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking, you've failed to form a single coherent point in your favor, and you realize that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|You try to persuade {s50}, but {reg51?she:he} outmaneuvers you from the very beginning. Even your best arguments echo hollow in your own ears. {s50}, likewise, has not formed a very high opinion of what you had to say.
str_persuasion_summary_average|{s50} turns out to be a skilled speaker with a keen mind, and you cannot seem to bring forth anything concrete that {reg51?she:he} cannot rationally counter. In the end, neither of you manage to gain any ground in this discussion.
str_persuasion_summary_good|Through quick thinking and smooth argumentation, you manage to state your case well, forcing {s50} to concede on several points. However, {reg51?she:he} still expresses some doubts.
str_persuasion_summary_very_good|You deliver an impassioned speech, as convincing and gripping as fine poetry. The world itself seems to quiet itself, in order to hear you better. The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well-disposed towards helping you.
str_secret_sign_1|The armoire dances at midnight...
str_secret_sign_2|I am selling these fine Turkish tapestries. Would you like to buy some?
str_secret_sign_3|A friend of a friend sent me...
str_secret_sign_4|The wind blows hard from the east and the river runs red...
str_countersign_1|But does he dance for the dresser or the candlestick?
str_countersign_2|Yes I would, do you have any in blue?
str_countersign_3|But, my friend, your friend's friend will never have a friend like me.
str_countersign_4|Have you been ill?
str_name_1|Sirko
str_name_2|Mozyra
str_name_3|Filon
str_name_4|Buhalo
str_name_5|Nechuy
str_name_6|Rourk
str_name_7|Asmund
str_name_8|Bjorn
str_name_9|Sigvar
str_name_10|Torgreyr
str_name_11|Gunnstein
str_name_12|Chort
str_name_13|Okun
str_name_14|Noseless
str_name_15|Brawler
str_name_16|Walker
str_name_17|Tabash
str_name_18|Zamora
str_name_19|Gudz
str_name_20|Barnabas
str_name_21|Wojciech
str_name_22|Garsha
str_name_23|Baibak
str_name_24|Bakhmet
str_name_25|Akun
str_surname_1|{s50} Face-mark
str_surname_2|{s50} the Ripper
str_surname_3|{s50} the Bullseye
str_surname_4|{s50} the Lanky
str_surname_5|{s50} the Squab
str_surname_6|{s50} the Golden-mouth
str_surname_7|{s50} the Stormbreaker
str_surname_8|{s50} the Greyhair
str_surname_9|{s50} the Greedy
str_surname_10|{s50} the Goodsoul
str_surname_11|{s50} the Lofty
str_surname_12|{s50} the Husky
str_surname_13|{s50} the Skinny
str_surname_14|{s50} the Jackal
str_surname_15|{s50} the Braggart
str_surname_16|{s50} the Kite
str_surname_17|{s50} the Spider
str_surname_18|{s50} the Dunce
str_surname_19|{s50} Big-ear
str_surname_20|{s50} the Musket
str_surname_21|{s50} the White
str_surname_22|{s50} the Black
str_surname_23|{s50} the Red
str_surname_24|{s50} Deathwatch
str_surname_25|{s50} Ironhand
str_surname_26|{s50} the Fool
str_surname_27|{s50} the Old
str_surname_28|{s50} the Long-armed
str_surname_29|{s50} the Boar
str_surname_30|{s50} the Humpback
str_surname_31|{s50} the Ball
str_surname_32|{s50} the Fatty
str_surname_33|{s50} the Cheery
str_surname_34|{s50} the Gloomy
str_surname_35|{s50} the Squint
str_surname_36|{s50} the Bee-master
str_surname_37|{s50} the Mute
str_surname_38|{s50} the Marksman
str_surname_39|{s50} the Ladiesman
str_surname_40|{s50} the Shroff
str_surname_41|{s50} the Wolf
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Number of troops killed: {reg1}
str_number_of_troops_wounded_reg1|Number of troops wounded: {reg1}
str_number_of_own_troops_killed_reg1|Number of friendly troops killed: {reg1}
str_number_of_own_troops_wounded_reg1|Number of friendly troops wounded: {reg1}
str_retreat|Retreat!
str_siege_continues|The fighting continues...
str_casualty_display|Your casualties: {s10}^Enemy casualties: {s11}{s12}
str_casualty_display_hp|^You were wounded for {reg1} hit points.
str_quest_log_updated|The quest log has been updated...
str_banner_selection_text|You have been awarded the right to carry a banner. Your banner will signify your status, and bring you honor. Which banner do you choose?
str_retirement_text_1|Only too late do you realize that your money cannot last. It doesn't take you long to fritter away what little you bothered to save, and you fare poorly in several desperate attempts to go forth adventuring again. You end up a beggar in {s9}, living on alms and the charity of the church.
str_retirement_text_2|Only too late do you realize that your money cannot last. It doesn't take you long to fritter away what little you bothered to save. Once every thaler has evaporated from your hands, you are reduced to a life of crime in the backstreets of {s9}, using your grim skills to eke out a living, robbing coppers from women and the poor townsmen.
str_retirement_text_3|Only too late do you realize that your money cannot last. It doesn't take you long to fritter away what little you bothered to save, and you end up a penniless, drifting from tavern to tavern, begging drinks from indulgent patrons, regaling them with war stories that no one ever believes.
str_retirement_text_4|The silver you've saved doesn't last long, but you manage to put together enough to buy some land near the village of {s7}. There you become a free farmer, and you soon begin to attract potential {wives/husbands}. In time, the villagers come to treat you as their local hero. You always receive a place of honor at feasts, and your exploits are told and retold in the pubs and taverns, that the young may keep a memory of you ever after.
str_retirement_text_5|The silver you've saved does not last long, but it is enough to buy a small tavern in {s9}. Although the locals are wary of you at first, they soon come to accept you, and in time, your growing tavern becomes a popular feast hall and meeting place. People come for miles to eat or stay there, and you are renown for the epic stories you tell of your adventuring days.
str_retirement_text_6|You have saved wisely throughout your career, and now your silver, and your intelligence, allow you to make some excellent investments to cement your future. After buying several shops and warehouses in {s9}, your shrewdness turns you into one of the most prominent merchants in town, and you soon become a wealthy {man/woman} known as much for your trading empire as your former military exploits.
str_retirement_text_7|As a landed noble, however minor, your future is all but assured. You settle in your hold at {s7}, administrating the village and fields, adjudicating the local courts and fulfilling your obligations to your lord. Occasionally your lord calls you to muster and command in his campaigns, but these stints are brief, and you never truly return to the adventuring days of your youth. You have already made your fortune, and with your own hall and holdings, you've few wants that your personal wealth and the income of your lands cannot afford you.
str_retirement_text_8|There is no question that you have done very well for yourself indeed. Your extensive holdings and the wealth you accumulated in your adventures are enough to guarantee a rich and easy life for the rest of your days. Retiring to your noble seat in {s8}, you exchange adventure for politics, and you soon establish yourself as a considerable power in your nation's royal court. When you are not busied with political intrigue, you hunt your private forests, feast in your hall, and tell your hundreds of fine war stories to your guests. You have little trouble making the best of the years that follow.
str_retirement_text_9|As a reward for your competent and loyal service, your lord decrees that you be given a hereditary title, which places you firmly among the major nobility of the realm. You are invested as baron of {s7}, and become one of your lord's closest advisors. Your renown garners much subtle influence and significant command. You spend your days playing the games of power, administering your great fiefs, and recounting the old days of adventure and glory.
str_retirement_text_10|Though you started from humble beginnings, your lord holds you in high esteem, and but a small ripple of surprise passes through the realm when he names you to the hereditary title of {Count/Countess} of {s9}. Vast fiefs and fortunes are now yours to command. You quickly become your lord's most trusted advisor, almost his equal, and charged with much of the running of his realm. You sit upon a throne in your own splendorous palace, as one of the most powerful figures in the nation.
str_loot_village|attack the innocent villagers
str_steal_from_villagers|steal from the poor villagers
str_men_hungry|plunge into famine
str_men_unpaid|plunge into poverty
str_excessive_casualties|turn every battle into a bloodbath for our side
str_flee_battle|run from battle
str_fail_quest|fail a quest undertaken on word of honor
str_squander_money|squander money given in trust
str_murder_merchant|involve ourselves in cold-blooded murder
str_round_up_serfs|round up serfs on behalf of some noble
str_battle_fate_1|We were separated in the heat of battle
str_battle_fate_2|I was wounded and left for dead
str_battle_fate_3|I was knocked senseless by the enemy
str_battle_fate_4|I was taken and held for ransom
str_battle_fate_5|I got captured, but later managed to escape
str_npc_morale_report|I'm {s6} your choice of companions, {s7} your leadership, and {s8} the general state of affairs.
str_happy|happy about
str_content|content with
str_concerned|concerned about
str_not_happy|unhappy with
str_miserable|downright appalled at
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Enthusiastic
str_bar_content|              Content
str_bar_weary|          Weary
str_bar_disgruntled|     Disgruntled
str_bar_miserable|  Miserable
str_here_plus_space|here 
str_npc1_intro|Ho there, traveler. You wouldn't by chance be one of the warriors of Prince Yarema?
str_npc2_intro|I beg your pardon, have we met before?
str_npc3_intro|My {son/dear}! Allow me to bless your meal, and recite a beautiful and elaborate prayer which shall bring you luck in battle. For this I only ask a few mugs of cool beer!
str_npc4_intro|Greetings, Cossack! Would you mind having a few cups of vodka with me?
str_npc5_intro|Herr Ritter, would you join me for a drink?
str_npc6_intro|Greetings, stranger! Are you the one seeking men to hire? I am a marksman, Fedot is my name...
str_npc7_intro|If you're trying to offer me a drink, you better stay back!
str_npc8_intro|Isanmesez!
str_npc9_intro|Greetings, {sir/madam}. Would you by any chance hail from Lithuania?
str_npc10_intro|Victor de la Buscador, at your service!
str_npc11_intro|Hello. It seems we've met before. I am in need of your help.
str_npc12_intro|The color of your face worries me, {sir/madam}. Perhaps you should apply leeches...
str_npc13_intro|If you are seeking a fortune-teller, you have came at a bad time. I only tell fortunes when the moon is young.
str_npc14_intro|Greetings, {sir/madam}. The wine here is disgusting, wouldn't you agree?
str_npc15_intro|What are you looking at? Want to taste my rolling-pin?
str_npc16_intro|You going to offer me ten thaler to enter your room? Be aware that I have a very sharp dagger in my hand.
str_npc1_intro_response_1|No, you are mistaken. Anyhow, perhaps you have seen Colonel Zagloba here? I am looking for him.
str_npc2_intro_response_1|Nay, not yet. My name is {playername}.
str_npc3_intro_response_1|God bless, holy father! Why are you wandering the pubs, eh?
str_npc4_intro_response_1|Why not sip a little spirit, if the company's good...
str_npc5_intro_response_1|Aye, why not. And what would a Swedish musketeer be doing in these lands?
str_npc6_intro_response_1|Perhaps I am looking for something. Why is your coat so worn out, and my, look at that pole-axe... Deserted the service, eh?
str_npc7_intro_response_1|Oh dear me. I wouldn't think of it!
str_npc8_intro_response_1|Pardon, what did you say?
str_npc9_intro_response_1|You must have me confused with someone else, friend.
str_npc10_intro_response_1|Man, what a name. Are you a Spaniard?
str_npc11_intro_response_1|I cannot recall. What's the matter, anyway?
str_npc12_intro_response_1|Leeches? What are you, a doctor?
str_npc13_intro_response_1|Fascinating. I thought the full moon is best time for fortune telling.
str_npc14_intro_response_1|I see you know your wine, eh?
str_npc15_intro_response_1|God forbid, no! I thought you had something to tell me. So what is your name?
str_npc16_intro_response_1|Oh, no... Quite the contrary, I just wanted to ask if there was anything I could do for you...
str_npc1_intro_response_2|This is no time for heartfelt recollections.
str_npc2_intro_response_2|Pardon me, I was confused...
str_npc3_intro_response_2|Heh, what an interesting surprise... Go now, holy father, God will provide...
str_npc4_intro_response_2|Thank you, but I am already leaving.
str_npc5_intro_response_2|Pardon me, but I am in a hurry.
str_npc6_intro_response_2|Looks can be deceiving.
str_npc7_intro_response_2|For God's sake, you are of no concern to me.
str_npc8_intro_response_2|Go, go out of here, you heathen. I don't know your gibberish tongue.
str_npc9_intro_response_2|We'll talk later, friend. I am in a hurry.
str_npc10_intro_response_2|I am glad. We shall meet later.
str_npc11_intro_response_2|Pardon me, I am in a hurry.
str_npc12_intro_response_2|Take these worms of yours and begone, bloodsucker!
str_npc13_intro_response_2|I have no time for the games of fortune tellers. Farewell.
str_npc14_intro_response_2|Pardon me, but I have no time to talk. Good evening to you...
str_npc15_intro_response_2|Nay and nay! I am leaving already...
str_npc16_intro_response_2|Why assume something bad right away? Never mind, I am leaving.
str_npc1_backstory_a|You're in luck, {son/my dear}. I am Colonel Zagloba!
str_npc2_backstory_a|I am the last survivor of an ancient house of Valash rulers. My famous ancestor, Vladislav Tepes, known as Dracula, was the scourge of the Turks, and the Lord of Transylvania!
str_npc3_backstory_a|For a while I am... How should I say... I have ceased to take up the holy orders.
str_npc4_backstory_a|Mamai is my name. I am the descendant of the famous Cossack from the bard's song. Of course, I would be hard pressed to strangle ten Poles with just my trousers, but I can wield the pike quite well.
str_npc5_backstory_a|Nay, I have merely been discharged for a time.
str_npc6_backstory_a|You speak the truth. I fled -- and who wouldn't? I come from Tula, but in recent years I have served as a Moscow marksman. I was once a famed hunter, and brought game from the forests to the royal halls.
str_npc7_backstory_a|Wine, vodka or schnapps -- it is my weakness. Just one little sip, and my body starts to itch.
str_npc8_backstory_a|Ah, I beg your pardon. Isanmesez means "do you still live?" It is a sort of greeting, like "how do you do".
str_npc9_backstory_a|My most humble apologies. Allow me to introduce myself -- I am Algirdas. My family name I would prefer to keep secret.
str_npc10_backstory_a|I am the heir of an ancient house, the roots of which stretch from the Old and New World alike. Buscadors fought in just about every war since the Reconquista.
str_npc11_backstory_a|The men of the Tatar Khan are hunting me. I exhausted three horses, and finally laid myself low here.
str_npc12_backstory_a|I am from Kiev. Learned to read and write at the Kiev-Bratsk college, and then I became a doctor. Until now, I offered myself to the Cossacks of the Kurenevskoe community. Healed them from hang-overs, offered bloodletting, dressed their wounds. And what a life it would have been, have I not met that French cartographer... what was his name... Guillaume de Beauplan. He fell ill as he was passing through Kiev, and I was summoned to apply leeches...
str_npc13_backstory_a|I am Oksana, a soothsayer. The arts of magic have been passed down through my family from times immemorial, from grandmother to granddaughter...
str_npc14_backstory_a|Oh certainly. I am an army quartermaster with a patent from the king of Sweden himself. Or, rather, I used to be...
str_npc15_backstory_a|My name is Varvara, of Novgorod. -- There I lived my whole life, before I became a widow.
str_npc16_backstory_a|Offended? Me? Believe me, those who offend me no longer walk this earth.
str_npc1_backstory_b|You could sooner count all leaves in the forest than all the enemies I have slain. Were my hair as numerous as the foes I've brought down by my own hand, the barbers would've made a fortune trimming my forelock! The devil take me if I lie...
str_npc2_backstory_b|The King of Hungary is the mortal enemy of the Valachs, and spread dreadful rumors that my ancestor had a thirst for blood! These legends and tales have become the bane of our family. The descendants of Dracula left Trasylvania, and I grew up in Kamenets, near the border. For a while now I have lived the life of a wanderer. It is not the life I would have chosen...
str_npc3_backstory_b|I am the priest Spasokukotsky. The bishop of Riga gave me a small village parish, but within the week he sent his sacrist there to check how well I was fulfilling my duties. After the Sunday mass this bore came to my humble cell. First he inquired what a parish woman was doing in my bed, and then had the gall to start preaching to me. He explained that one should not spin the censer over one's head during the sermon -- and I endured his condescension well enough. He said that prayers should be concluded by the word "Amen", and not by the word I spoke at the end, and still I remained silent. The parish loved my way of doing things, you understand! But then, when he began to shout that he saw goods from my Church being sold at the Riga market, I could no longer stand it any longer, and beat him with a staff so hard he barely made it out alive.
str_npc4_backstory_b|During the battle of Berestechek, when the Poles and Crimeans crushed Hmelnitski's forces utterly, I was captured by the Tatars. They brought me to Kafa, offered me a place as a mercenary for the Turkish Sultan. But instead I killed the guards and fled.
str_npc5_backstory_b|I served in the musket regiment of General Lennart Torstenson's, the finest commander in all of Sweden. I took part in the battle of Jankau, where we utterly defeated the very best of the German forces! Ah, those were the days!
str_npc6_backstory_b|My service went well, or would have, were it not for one Secret Department clerk. A skinny, wall-eyed fellow with a goatee, but he had set his sights on my wife. The foul creature knew that she was faithful to me, but he devised a dirty trick using the powers that came with his position. He whispered to the chief hunting clerk that I boasted in front of men that I saw a wondrous horse in the woods, that had a horn on its head. Our sire is quite keen on various rare animals, and so I was entrusted with the task of capturing this creature -- or get fired and thrown into the gaol for my idle talk.
str_npc7_backstory_b|My name is Yelisey. I am the fourth son of the Ryazan noble Skiba. From the cradle, my father prepared me for the duty of a warrior. I learned to ride, to shoot with pistols, and to fence.
str_npc8_backstory_b|I am Bakhyt. For fifteen years I was an aide to the Khan's executioner in Bakhchisaray. The work was busy, but I did not mind it... Until the new Khan installed a new Vizier, that is.
str_npc9_backstory_b|My ancestor received his title from the Grand Prince Algirdas at the end of the XIV century. For military valor he were granted vast lands near the town of Bryansk. Since that day all the eldest sons in our family bear his name. Our house served the Grand Duchy of Lithuania faithfully for three centuries, while our borderlands were always an apple of discord between Lithuania and Moscow. Our estate slowly fell into decay, yet we still remained their masters. However, recently the Moscow Tsar gave it to one of his nobles.
str_npc10_backstory_b|I came here on the invitation of Prince Radziwill. First I served in his body-guard regiments, then in an infantry party. We distinguished ourselves on the field of battle. The Prince even considered giving me command of a regiment...
str_npc11_backstory_b|I am the lord of the Nogai Horde, Mirza Nogai. The blood of the majestic Gengis Khan flows through my veins, and my ancestors were associated with the Tsars of Moscow. You cannot imagine how deeply it offends me to see the low-born Giray ruling the Crimean Khanate! I even have pay them a tribute! -- What an insult!
str_npc12_backstory_b|The Frenchman was certainly talkative. While I was treating him... my what stories he told! About cherry-trees under Pereyaslav which would grow only up to the waist, and of the crayfish in the Ukrainian rivers nigh the size of a cat! And that the Tatar children are born blind like puppies, and only open their eyes on the second week... Among other stories, Beauplan told me that the Sich Cossacks treat fever by mixing vodka with gunpowder...
str_npc13_backstory_b|I can make love-potions, tell the future, and use sorcery to invoke fortune in battle. I am also good at soothsaying and healing horses.
str_npc14_backstory_b|My name is Ingri, and I hail from Reval. If you need provisions for amazing prices, or you wish to sell your merchandise at triple the standard prices, then I am your woman! I provided all the food and wine for the court regiment of Carl Gustaf himself -- and everyone was perfectly content with me. Except my competitors, of course! And one day those bastards changed one of my beer barrels, and my clients were treated to horse piss instead of beer -- on the King's birthday no less! Bad luck all around, what can one say. Now I have no patent, and no savings either. Free as a bird, like it or not.
str_npc15_backstory_b|After he developed a passion for mead, my late husband began to beat me. Often he would come home blind drunk, and then go right for the belt... Well, one day I couldn't take it any longer. When he appeared, I was busy with dough in the kitchen, working my tired hands... So I gave him a blow on top of his head with my rolling-pin -- and broke his skull. 
str_npc16_backstory_b|I was born in Kafa. When I reached the age of fourteen, I was taken from my parents, brought to Istanbul and trained as a guard. At eighteen, I became the bodyguard of the Sultan's beloved wife. Yet soon my charge must have somehow offended the master. The eunuchs strangled her. After that, I was returned to Kafa. Not to my home, though -- to the slave market, where I was sold.
str_npc1_backstory_c|I see you prepare for war. And if you call me to your side, only should feet would grow into the ground like roots, would I not go. Even then I'd tear those roots from the ground! I have a mighty thirst for Swedish meat once more, like a wolf thirsting for a lamb! Oh, aren't they scoundrels! Fleas must've gotten into their tiny stockings and bitten their legs, so they can't sit still at home and keep intruding on lands which are not theirs...
str_npc2_backstory_c|Several years ago, Hmelnitski's army laid siege to Kamenets. Soon a plague hit the Cossack camp, and they withdrew. But the same dreadful epidemic took the lives of many townsmen, including my parents. I volunteered to be the captain of the town guard, and could only visit their graves after sunset, so busy was I. The graveyard keeper spoke of it in a pub, and invented a few tall tales involving grave digging. The merchants, their minds inflamed by the war and the plague, accused me of mortal sins, and bent themselves on my destruction. All I could take as I fled the city were my sword and a treatise on the art of war.
str_npc3_backstory_c|Learning of this, the bishop sent a mercenary band to deal with me. I did not wait for them to come, but took my belongings and fled to the woods. Soon I found out I had been defrocked and excommunicated by the bishop.
str_npc4_backstory_c|But when I returned home, I saw that all changed in the Sich.
