qstr_Next_Page|Next Page
qstr_{s11}_and_{s12}|{s11} and {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5} is ruled by {s6}.^It occupies {s8}.^Its subjects are {s10}.^Its enemies are {s12}.
qstr_{s5}_has_been_defeat|{s5} has been defeated!
qstr_{s7}_opened_the_gate|{s7} opened the gate
qstr_{s7}_closed_the_gate|{s7} closed the gate
qstr_+{reg1}_to_party_mor|+{reg1} to party morale
qstr_Requires_{reg1}_inte|Requires {reg1} intelligence to read
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%
qstr_wound_treament|wound treatment
qstr_trainer|trainer
qstr_surgery|surgery
qstr_+1_to_{s1}_while_in_|+1 to {s1} while in inventory
qstr_{s2}|{s2}
qstr_Base_damage_radius:_|Shards radius: {reg1} paces. Damage radius: {reg2} paces.
qstr_Move_here|Move here
qstr_View_notes|View notes
qstr_killed|Killed
qstr_wounded|Wounded
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3}. {s2}
qstr_None|N/A
qstr_^None|^None
qstr_nothing|none
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} fortress{reg1?es:}
qstr_{reg0}_castle{reg1?s:|{reg0} fortress{reg1?es:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Your opponents are ready for the fight.
qstr_Try_to_destroy_as_ma|Try to destroy as many targets as you can. You have two and a half minutes to clear the track.
qstr_Stay_behind_the_line|Stay behind the line on the ground and shoot the targets. Try not to waste any shots.
qstr_Battle_Advantage_=_{|Battle Advantage = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} wants you to continue following his army until further notice.
qstr_OIM_add__{s3}_prosil|Your first order from {s3} is to seize a city.
qstr__Being_Raided_|Under attack
qstr__Looted_|Looted
qstr__Under_Siege_|Under Siege
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.
qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.
qstr_Enemies_spotted_near|Enemies spotted near {s1}.
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of {s3}.
qstr_{s1}_is_chosen_as_th|{s1} is chosen as the marshal of {s2}.
qstr_{s1}_is_the_new_mars|{s1} is the new marshal of {s2}.
qstr_{s1}_decided_to_do_n|{s1} decided to do nothing.
qstr_{s1}_decided_to_gath|{s1} decided to gather an army.
qstr_{s1}_decided_to_besi|{s1} decided to besiege {s2}.
qstr_{s1}_decided_to_raid|{s1} decided to raid {s2}.
qstr_{s1}_decided_to_atta|{s1} decided to attack {s2}.
qstr_{s1}_decided_to_attac|{s1} decided to attack all enemies around {s2}.
qstr_You_gained_{reg12}_r|You have gained {reg12} renown.
qstr_You_lose_{reg12}_ren|You have lost {reg12} renown.
qstr_Your_relation_with_{|Your relation with {s1} has improved.
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
qstr_You_gain_honour.|You gain honor.
qstr_You_lose_honour.|You lose honor.
qstr_{s1}_has_declared_wa|{s1} has declared war against {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} and {s2} have made peace with each other.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} on the way and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_{s6}_has_joined_your|{s6} has joined your party
qstr_You_now_owe_{reg2}_d|You now owe {reg2} thaler to {s1}.
qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
qstr_Advancing|Advancing
qstr_Falling_Back|Falling Back
qstr_Standing_Closer|Standing Closer
qstr_Spreading_Out|Spreading Out
qstr_Standing|Standing
qstr_N/A|N/A
qstr_Any_Weapon|Any Weapon
qstr_Blunt_Weapons|Blunt Weapons
qstr_{s1}_Rebels|{s1} (rebels)
qstr_Given_by:_{s62}|Given by: {s62}
qstr_Given_on:_{s60}|Given on: {s60}
qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.
qstr_This_quest_has_been_|Quest concluded. Talk to {s59} to complete it.
qstr_This_quest_has_been_s|Quest completed. Speak with {s59} to claim your reward.
qstr_This_quest_has_faile|This quest was failed. Speak with {s59} to explain the situation.
qstr_At_the_time_quest_wa|At the day quest was given, {s1}
qstr_{s1}_is_infested_by_|{s1} is under bandit assault.
qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
qstr_{s50}|{s50}
qstr_Current_garrison_con|Garrison consists of {reg5} men.^Has food stock for {reg6} days.
qstr_Very_Poor|Very Poor
qstr_Poor|Poor
qstr_Average|Average
qstr_Rich|Rich
qstr_Very_Rich|Very Rich
qstr_Manor|Manor
qstr_A_manor_lets_you_res|A manor allows you to rest at villages, and pay your troops half wages while you rest.
qstr_Mill|Mill
qstr_A_mill_increases_vil|A mill increases a village's prosperity by 5%.
qstr_Watch_Tower|Watch Tower
qstr_A_watch_tower_lets_t|A watch tower lets the villagers raise the alarm more quickly. The time it takes for enemies to loot the village increases by 25%.
qstr_School|School
qstr_A_shool_increases_th|A school increases the loyalty of the villagers by +1 each month.
qstr_Messenger_Post|Messenger Post
qstr_A_messenger_post_let|A messenger post enables the inhabitants to send word to you whenever enemies are nearby, even if you are far away.
qstr_Prison_Tower|Prison Tower
qstr_A_prison_tower_reduc|A prison tower reduces the chance of captives held here running away successfully.
qstr_Prosperity_of_{s2}_h|Prosperity of {s2} has changed from {s3} to {s4}.
qstr_{s4}_looks_upset.|{s4} looks upset.
qstr_OiM_You_ve_lost_your|You lost your horse.
qstr_oim_potop_negative_e|In the year of our Lord 1655, the Polish king disbanded the Sejm -- that is, the Parliament -- and proclaimed himself Czar in the same fashion as the sovereign of Moscow. But the treasonous gentry could not let this stand, and soon revolt had gripped all the lands of Great Poland and Lithuania, Rusyn and Ukraine. In an attempt to stamp out the growing rebellion, the king hired German Landsknechts as mercenaries. ^Before long the entire Polish-Lithuanian Commonwealth was consumed by the fires of war, like so much dry kindling. As for Jan Kasimir, the would-be Czar, upon losing the loyalty of the people and the gentry, he abdicated the throne and fled, accompanied by his latest commander, a low-born warlord known as {playername}. At the border between Masovia and Prussia, they were ambushed by a large group of bandits, a common enough danger in those days. The king and his companions were killed, and no one has ever discovered where their remains lie hidden. ^Zenon Petretsky, "A Short History of the Polish Commonwealth" (1855).
qstr_your_party|your party
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of {s3} has escaped from captivity!
qstr_You_brought_{reg3}_h|You brought {reg3} head of cattle to {s1}.
qstr_I_heard_that_there_w|I heard that there will be a tournament in {s62} soon.
qstr_I_heard_that_one_can|I heard that one can buy {s62} very cheap at {s63}.
qstr_I_heard_that_they_pa|I heard that they pay very well for {s62} at {s63}.
qstr_Log_entry_{reg3}:_ty|Log entry {reg3}: type {reg4}
qstr_Center:_{s4}|Center: {s4}
qstr_Troop:_{s4}|Troop: {s4}
qstr_Lord:_{s4}|Lord: {s4}
qstr_Ally_party_is_presen|Allied party is present
qstr_{s4}_is_present_at_e|{s4} is present at the event
qstr_Event_#{reg5}_type_{|Event #{reg5}, type {reg6}, time {reg8}: player's nation's relation to troop object = {reg7}
qstr_Event_#{reg5}_type_{r|Event #{reg5}, type {reg6}, time {reg8}: player's nation's relation to center object nation = {reg7}
qstr_Event_#{reg5}_type_{re|Event #{reg5}, type {reg6}, time {reg8}: player's nation's relation to nation object = {reg7}
qstr_Event_#{reg5}_type_{reg|Event #{reg5}, type {reg6}, time {reg8}. No relevant nation relation
qstr_Event_#{reg5}_type_{reg6|Event #{reg5}, type {reg6}, time {reg8}. Player unaffiliated
qstr_Elapsed_hours:_{reg7|Elapsed hours: {reg7}
qstr_Reputation_type:_{s1|Reputation type: {s15}
qstr_Entries_up_to_#{reg5|Entries up to #{reg5} skipped
qstr__{reg6}_dinarov_| ({reg6} thaler)
qstr__{s20}_{s22}_{s5}| {s20}, {s22} {s5}
qstr_{s0}___{reg1}|{s0} - {reg1}
qstr__^not_drunk|^^[Sober]
qstr__^slightly_drinken|^^[Tipsy]
qstr__^quite_drunk|^^[Drunk]
qstr__^cant_say_few_words|^^[Blind Drunk]
qstr_V_otryade_nachalas_e|{s0} plagues your men. To heal, your soldiers should rest at the pub and have some good food. It would be well to show them to a doctor, too.
qstr_{s0}|{s0}
qstr_{s50}_i_{s0}|{s50} and {s0}
qstr_v_otryade_nachalas_e|{s0} plagues your men. To heal, your soldiers should rest at the pub and have some good food. It would be well to show them to a doctor, too.
qstr_v_otryade_nachalis_e|{s50} plagues your men
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3?was:is} in the wild, but {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_Player:_v_gorode_{s3|Player: {s31} shall soon be made in {s30}.
qstr_{s0}_{s2}|{s0}, {s2}
qstr_V_gorode_{s30}_zaver|{s31} was built in {s30}.
qstr_Glava|Mayor
qstr_tax:_{reg3}|taxes: {reg3}
qstr__{s2}_stud:_{reg0}| {s2} stud: {reg0}
qstr_depozita|Deposit
qstr_kredita|Credit
qstr_Zdes_vi_mozhete_zaka|Here you can order excellent weapons for yourself.
qstr_Zdes_vi_mozhete_zakaz|Here you can order excellent armor for yourself.
qstr_Vash_zakaz_esche_ne_|Your order is not ready yet.
qstr_Vi_esche_ne_zabrali_|You have not yet collected your previous order!
qstr_Za_mir_nuzhno_budet_|We are ready to make peace if you give us {s5}.
qstr_Za_mir_nuzhno_budet_o|I am ready to make peace if you give me {s5} and {s2}
qstr_Uchitivaya_silu_vash|We respect the might of your arms. We are ready to make peace.
qstr_Za_mir_vam_nuzhno_bu|We are ready to make peace for a meager contribution of {reg1} thaler.
qstr_^{s20}_{s21}|^{s20} {s21}
qstr_gorode|city
qstr_zamke|fortress
qstr_sele|village
qstr_V_{s22}_hodyat_sluhi|There's a rumor in the {s22}: {s21}
qstr_V_etom_{s22}_nichego|Nothing of interest happened in {s22}.
qstr_{s3}_{reg1}_|{s3}({reg1})
qstr_{s4}_{s3}_{reg1}_|{s4}, {s3}({reg1})
qstr_Party_has_nothing_to|Your party is starving!
qstr_{s31}|{s31}
qstr__{s32}| {s32}
qstr__| 
qstr_Cannot_leave_now.|You cannot leave now.
qstr_You_must_stay_behind|You must stay behind the line on the ground! The point does not count.
qstr_You_run_away_from_th|You fled the battlefield.
qstr_You_came_into_the_wo|You came into the world a {reg3?daughter:son} of declining noble family, which owned only the house in which they lived. However, despite your family's hardships, they afforded you a good education and trained you from childhood for the rigors of aristocracy and life at court.
qstr_You_were_born_the_{r|You were born the {reg3?daughter:son} of travelling merchants, always moving from place to place in search of profit. Although your parents were wealthier than most, and educated you as well as they could, you found little opportunity to make friends on the road, living mostly for the moments when you could help your family by making a sale.
qstr_As_a_child_your_fami|When you were a child, your family scraped by on the meager wages your father earned as a guardsman to the local lord. It was not an easy existence, and you were too poor to receive much of an education. You learned mainly how to defend yourself on the streets, with or without a weapon in hand.
qstr_{reg3?daughter:son}|{reg3?daughter:son}
qstr_You_were_the_{reg3?d|You were the {reg3?daughter:son} of a family who lived off the woods, doing whatever they needed to make ends meet. Hunting, woodcutting, making arrows, even a spot of poaching whenever things got tight. Winter was never a good time for your family, as the cold took animals and people alike, but you always lived to see the next spring, though some of your brothers and sisters were not so fortunate.
qstr_You_were_a_child_of_|You were a child of the steppe, born to a tribe of wandering nomads who lived in great camps throughout the arid grasslands. Like the other tribesmen, your family revered horses above almost everything else, and they taught you how to ride almost before you learned how to walk. 
qstr_As_the_{reg3?daughte|As the {reg3?daughter:son} of a thief, you had but little education. Instead you were out on the street, begging until you learned how to cut purses, cutting purses until you learned how to pick locks, all the way through your childhood. Still, these long years made you streetwise and knowledgeable of the secrets of cities and shadowy backways.
qstr_As_a_{reg3?girl:boy}|As a {reg3?girl:boy} growing out of childhood, you were sent to live in the court of one of the nobles of the land. There, your first lessons were in humility, as you waited upon the lords and ladies of the household. But from their chess games, their gossip, even the poetry of great deeds and courtly love, you quickly began to learn about the adult world of conflict and competition. You also learned from the rough games of the other children, who battered at each other with sticks in imitation of their elders' swords.
qstr_As_a_{reg3?girl:boy}_|As a {reg3?girl:boy} growing out of childhood, you apprenticed with a local craftsman to learn a trade. After years of hard work and study under your new master, he promoted you to journeyman and employed you as a fully paid craftsman for as long as you wished to stay.
qstr_As_a_{reg3?girl:boy}_g|As a {reg3?girl:boy} growing out of childhood, you were apprenticed to a wealthy merchant, picking up the trade over years of working shops and driving carts. You soon became adept at the art of buying low, selling high, and leaving the customer thinking they'd gotten the better deal.
qstr_As_a_{reg3?girl:boy}_gr|As a {reg3?girl:boy} growing out of childhood, you took to the streets, doing whatever you needed to survive. Begging, thieving and working for gangs to earn your bread, you lived from day to day in this violent world, always one step ahead of the law and those who wished you ill.
qstr_As_a_{reg3?girl:boy}_gro|As a {reg3?girl:boy} growing out of childhood, you rode the great steppes on a horse of your own, learning the ways of the grass and the desert. Although you sometimes went hungry, you became a skillful hunter and pathfinder in this trackless country. Your body too started to harden with muscle as you grew into the life of a nomad {reg3?woman:man}.
qstr_{reg3?daughter:man}|{reg3?daughter:man}
qstr_Though_the_distincti|You grew older and ultimately became a {reg3?woman:man}, and as you did, the whole world seemed to change around you. When you were named squire to a noble at court, you practiced long hours with weapons, learning how to deal out hard knocks and how to take them, too. You were instructed in your obligations to your lord, and of your duties to those who might one day be your subjects. But in addition to learning the chivalric ideals, you also received less uplifting knowledge -- from the old warriors' stories of ruthless power politics, of betrayals and usurpations, of men who used guile as well as valor to achieve their aims.
qstr_{reg3?woman:man}|{reg3?woman:man}
qstr_Though_the_distinctio|You grew older and ultimately became a {reg3?woman:man}, and as you did, the whole world seemed to change around you. You joined the tightly-knit circle of women at court, ladies who all did proper ladylike things, the wives and mistresses of noble men as well as maidens who had yet to find a husband. However, even here you found politics at work as the ladies schemed for prominence and fought each other bitterly to catch the eye of whatever unmarried man was in fashion at court. You soon learned ways of turning these situations and goings-on to your advantage. With it came the realization that you yourself could wield great influence in the world, if only you applied yourself with a little bit of subtlety.
qstr_Though_the_distinction|You grew older and ultimately became a {reg3?woman:man}, and as you did, the whole world seemed to change around you. You set out on your own with nothing except an instrument slung over your back and your own voice. It was a poor existence, with many a hungry night when people failed to appreciate your play, but you managed to survive on your music. As the years went by, you became adept at playing for the drunken crowds in the pubs, and even better at talking anyone out of anything you wanted.
qstr_Though_the_distinction_|You grew older and ultimately became a {reg3?woman:man}, and as you did, the whole world seemed to change around you. You found yourself as a student in the university of one of the great cities, where you studied theology, philosophy, and medicine. But not all your lessons were learned in the lecture halls. You may not have always joined in with your fellows as they roamed the alleys in search of wine, women, and a good fight. However, you certainly were able to observe how a broken jaw is set, or how an angry townsman can be persuaded to set down his club and accept cash compensation for the destruction of his shop.
qstr_Though_the_distinction_f|You grew older and ultimately became a {reg3?woman:man}, and as you did, the whole world seemed to change around you. Heeding the call of the open road, you travelled from village to village buying and selling what you could. It was not a rich existence, but you became a master at haggling even the most miserly elders into giving you a good price. Soon, you knew, you would be well-placed to start your own trading empire...
qstr_Though_the_distinction_fe|You grew older and ultimately became a {reg3?woman:man}, and as you did, the whole world seemed to change around you. You pursued a career as a smith, crafting items of function and beauty out of simple metal. As time wore on you became a master of your trade, and fine work started to command fine prices. With food in your belly and logs on your fire, you could take pride in your work and your growing reputation.
qstr_Though_the_distinction_fel|You grew older and ultimately became a {reg3?woman:man}, and as you did, the whole world seemed to change around you. Dissatisfied with common men's desperate scrabble for coin, you took to your local lord's own forests and decided to help yourself to its bounty, laws be damned. You hunted stags, boars and geese and sold the precious meat under the table. You cut down trees right under the watchmen's noses and turned them into firewood that warmed many freezing homes during winter. All for a few silvers, of course.
qstr_Only_you_know_exactl|Only you know exactly what caused you to give up your old life and become an adventurer. Still, it was not a difficult choice to leave, with the rage burning brightly in your heart. You want vengeance. You want justice. What was done to you cannot be undone, and these debts can only be paid in blood...
qstr_Only_you_know_exactly|Only you know exactly what caused you to give up your old life and become an adventurer. All you can say is that you couldn't bear to stay, not with the memories of those you loved so close and so painful. Perhaps your new life will let you forget, or honor the name that you can no longer bear to speak...
qstr_Only_you_know_exactly_|Only you know exactly what caused you to give up your old life and become an adventurer. You're not even sure when your home became a prison, when the familiar became mundane, but your dreams of wandering have taken over your life. Whether you yearn for some faraway place or merely for the open road and the freedom to travel, you could no longer bear to stay in the same place. You simply went and never looked back...
qstr_Only_you_know_exactly_w|Only you know exactly what caused you to give up your old life and become an adventurer. However, you know you cannot go back. There's nothing to go back to. Whatever home you may have had is gone now, and you must face the fact that you're out in the wide wide world. Alone to sink or swim...
qstr_Only_you_know_exactly_wh|Only you know exactly what caused you to give up your old life and become an adventurer. To everyone else, it's clear that you're now motivated solely by personal gain. You want to be rich, powerful, respected, feared. You want to be the one whom others obey. You want people to know your name, and tremble whenever it is spoken. You want everything, and you won't let anyone stop you from having it...
qstr_Back_to_the_beginnin|Back to the beginning...
qstr_View_next_segment...|View next segment...
qstr___| -
qstr__+| +
qstr_^No_food:___{reg7}|^No food: -{reg7}
qstr_^Wage_debt:___{reg6}|^Wage debt: -{reg6}
qstr_Current_party_morale|Current party morale is {reg5}.^^Current party morale modifiers are:^^Base morale: +50^Party size: {s2}{reg1}^Leadership: {s3}{reg2}^Food variety: {s4}{reg3}{s5}{s6}^Recent events: {s7}{reg4}^TOTAL: {reg5}
qstr_Defending|Defending
qstr_Gathering_army|Gathering army
qstr_Besieging_{s11}|Besieging {s11}
qstr_Raiding_{s11}|Raiding {s11}
qstr_Attacking_enemies_ar|Attacking enemies around {s11}
qstr_No_one|No one
qstr_{s9}{s10}^Current_st|{s9}{s10}^Current state: {s11}^Marshal: {s12}^Since the last offensive: {reg1} hours^Offensive maximum followers: {reg2}^^
qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}
qstr_You_are_currently_re|You are currently reading {s8}.
qstr_You_are_not_reading_|You are not reading any books.
qstr_none|none
qstr_{s5}_and_{s6}|{s5} and {s6}
qstr_{s5}_{s6}|{s5}, {s6}
qstr_Renown:_{reg2}.^Hono|Renown: {reg2}.^Honor rating: {reg3}.^Friends: {s8}.^Enemies: {s6}.^{s9}
qstr_Your_estates_are:_{s|Your estates are: {s8}.^{s9}
qstr_You_are_a_lord_of_{s|You are a noble of {s8}.^{s9}
qstr_Current_party_size_l|Current party size limit is {reg5}.^^Current party size modifiers are:^^Base size: +{reg4}^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Renown: {s4}{reg3}^TOTAL: {reg5}
qstr_Loyal|Loyalty
qstr_Devoted|Loyalty
qstr_Fond|Friendliness
qstr_Gracious|Friendliness
qstr_Friendly|Support
qstr_Supportive|Support
qstr_Favorable|Sympathy
qstr_Cooperative|Sympathy
qstr_Accepting|Indifference
qstr_Indifferent|Indifference
qstr_Suspicious|Indifference
qstr_Grumbling|Suspicion
qstr_Hostile|Suspicion
qstr_Resentful|Resentment
qstr_Angry|Resentment
qstr_Hateful|Hatred
qstr_Revengeful|Hatred
qstr_Vengeful|Hostility
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s3})
qstr_Your_relation_with_t|Your relationship with the nations is:^{s2}
qstr_V_{s10}_stroitsya_{s|{s11} is constructed in {s10}. Remaining {reg4} = {reg5}
qstr_V_{s10}_postroeno_{s|Construction of {s11} is finished in {s10}.
qstr_Player_renown_is_inc|Player renown is increased by 100. 
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?accept:accepts} the offer.
qstr_No_one_accepts_the_o|No one accepts the offer.
qstr_You_start_reading_{s|You start reading {s2}. After a few pages, you feel you could learn a lot from this book. You decide to keep it close by and read whenever you have the time.
qstr_You_flip_through_the|You flip through the pages of {s2}, but you find the text confusing and difficult to follow. Try as you might, it soon gives you a headache, and you're forced to give up the attempt.
qstr_You_paid_{reg3}_of_y|You paid {reg3} of your {reg4} thaler to your men. You have {reg5} thaler remaining.
qstr_Your_debt_to_your_me|Your debt to your men amounted to {reg3} thaler. However, you only had {reg4}. The unpaid sum of {reg5} thaler is added as debt, and your party loses morale.
qstr_This_week_s_wages:_{|This week's wages: {reg6} thaler^Earlier debts: {reg2} thaler^Total payment: {reg3} thaler^Current wealth: {reg4} thaler^^{s1}
qstr_Villagers|Villagers
qstr_You_have_encountered|You have encountered {s1}.
qstr_Armiya_protivnika_po|Enemy forces have retreated to the camp.
qstr_You_have_engaged_{s1|You stumble upon a field of battle. {s1} is attacking {s3}. You resolve to come to the aid of {s3}.
qstr_You_were_caught_by_{|You were overtaken by {s1} while your forces were assaulting {s3}.
qstr_You_were_victorious!|You were victorious!
qstr_Battle_was_lost._You|The battle was lost. Your forces were utterly crushed.
qstr_Your_companions_carr|Your companions carry you away from the fighting.
qstr_You_have_defeated_th|You have defeated the enemy.
qstr_You_have_retreated_f|You have retreated from the fight.
qstr_^^Ally_Casualties:{s|^^Allied casualties:{s0}
qstr_{s1}_of_{s3}_managed|{s1} of {s3} managed to escape.
qstr_{s17}|{s17}
qstr__V_gorode_ostalos_{r|There are {reg0} fighters still alive, who you take prisoner. What shall you do with them?
qstr__V_gorode_ostalos_{re|There are {reg0} warriors still alive, whom you released from captivity. Enlist them in the garrison?
qstr_Victory_comment._Pla|Victory comment. Player was alone.
qstr_Ordinary_victory_com|Ordinary victory comment. The player provided at least 40 percent forces.
qstr_Player_participation|Player participation comment. The enemy had at least 1k starting strength.
qstr_No_victory_comment._|No victory comment. The battle was small, and the player provided less than 40 percent of allied strength
qstr_Some_of_your_tendons|Some of your tendons have been damaged in the battle. You lose 1 point of Strength.
qstr_You_took_a_nasty_wou|You took a nasty wound which will cause you to limp slightly even after it heals. Your lose 1 point of Agility.
qstr_You_have_trouble_thi|You have trouble thinking straight after the battle, perhaps from a particularly hard hit to your head, and frequent headaches now plague your existence. Your Intelligence is reduced by 1.
qstr_Perhaps_I_m_getting_|Perhaps I'm getting unlucky...
qstr_Retirement_is_starti|Retirement is starting to sound better and better.
qstr_No_matter!_I_will_pe|No matter! I will persevere!
qstr_What_did_I_do_to_des|What did I do to deserve this?
qstr_I_suppose_it_ll_make|I suppose it'll make for a good story, at least...
qstr_Player_retreats_from|Player retreats from battle
qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.
qstr_{s8}_of_{s9}|{s8} of {s9}
qstr__Your_own_banner_fli| This fortress belongs to you.
qstr__You_see_the_banner_| This fortress belongs to {s7}.
qstr__This_castle_seems_t| This fortress seems to belong to no one.
qstr__Your_own_banner_flie| Your own banner flies over the town gates.
qstr__You_see_the_banner_o| This town belongs to {s7}.
qstr__The_townsfolk_here_| The townsfolk here have declared their independence.
